subject bat,subject sex,trial type,test bat,control bat,test relatedness,control relatedness,test kinship,control kinship,subject is mother,dyad is mom-offspring,FSI test,FSI control,test arm,entered test- control, test-control time in arm (s)
three,female,donor,cerce,mina,0.1941,-0.313,0.1941,0,n,n,4.795790546,0,r,30,32
lucy,female,donor,vampirella,cerce,0.2195,0.1352,0.2195,0.1352,n,n,4.521788577,0,l,-600,131
mina,female,donor,bella,bat2,-0.2708,-0.6153,0,0,n,n,4.287410658,0,r,-468,55
vlad,male,donor,lucy,bella,-0.05,-0.1008,0,0,n,n,2.479894108,0,l,0,0
countess,female,donor,veronica,bat2,0.3005,-0.5607,0.3005,0,n,n,6.237021693,0,r,69,14
mya,female,donor,bella,lily,-0.4202,-0.4619,0,0,n,n,5.848523947,5.052256969,l,-207,46
vampirella,female,donor,lucy,bat2,0.2195,-0.1771,0.2195,0,n,n,3.670375983,0,r,-11,23
veronica,female,donor,lily,marce,-0.1293,0.0326,0,0.0326,n,n,4.862393051,0,r,-184,48
flapper,male,donor,mina,vampirella,0.0195,0.2072,0.0195,0.2072,n,n,4.773505501,0,r,-600,100
snow,female,donor,veronica,lucy,0.1943,-0.1377,0.1943,0,n,n,5.017279837,0,r,-460,78
marce,female,donor,mya,bella,-0.0809,0.3422,0,0.3422,n,n,4.94875989,0,l,-79,-23
thecount,male,donor,countess,bat3,0.2871,-0.4581,0.2871,0,n,n,4.463990572,0,r,98,-18
cerce,female,donor,countess,vampirella,-0.1686,0.4611,0,0.4611,n,n,4.852550962,0,l,320,-20
lily,female,donor,veronica,bat4,-0.1293,-0.1249,0,0,n,n,5.017279837,0,r,-600,300
bella,female,donor,mina,zaria,-0.2708,0.327,0,0.327,n,n,5.474509063,0,l,-61,5
sheldon,male,kin,vampirella,cerce,0.2704,0.1654,0.5,0,n,y,,,l,-87,47
marce,female,kin,cerce,mina,0.3837,0.1529,0.5,0,n,y,5.707110265,0,r,57,-48
bella,female,kin,lily,bat2,0.692,-0.1634,0.5,0,y,y,6.783608286,0,l,-171,106
three,female,kin,bat2,lily,0.3636,-0.0648,0.3636,0,n,n,0,0,r,433,-36
cerceson,male,kin,cerce,bat7,0.6293,0.1509,0.5,0,n,y,5.379897354,,r,213,16
whimsey,male,kin,vampirella,mina,0.2843,-0.103,0.5,0,n,y,0,,l,-42,-36
houdini,male,kin,mina,lucy,0.3797,-0.5426,0.5,0,n,y,,,r,9,-11
snow,female,kin,countess,mya,0.3603,-0.439,0.5,0,n,y,5.351858133,4.510859507,r,-328,28
streblick,male,kin,mya,marce,0.4934,-0.0642,0.5,0,n,y,7.008505182,0,r,13,16
thecount,male,kin,zaria,bat3,0.4394,-0.4581,0.4394,0,n,n,0,0,r,-34,8
vlad,male,kin,mina,countess,0.5271,-0.0335,0.5271,0,n,n,0,0,l,26,152
gelfing,male,kin,lily,zaria,0.4823,0.3494,0.4823,0.3494,n,n,0,0,r,358,-41
sonofzaria,male,kin,zaria,lily,0.0841,-0.3428,0.625,0,n,y,,,l,-58,74
minason,male,kin,bella,bat3,0.427,0.0049,0.5,0,n,y,7.43543802,,r,73,-58
pixus,male,kin,bella,countess,0.382,0.0321,0.5,0,n,y,6.139165903,0,r,27,-10
lucyson,male,kin,lucy,cerce,0.2322,-0.1494,0.5,0,n,y,,,l,-83,34
speedster,male,kin,cerce,veronica,0.6223,-0.1231,0.5,0,n,y,5.157137753,1.734601055,r,-45,16
flapper,male,kin,countess,veronica,0.376,-0.0468,0.5,0,n,y,5.147494477,0,l,-20,51
leonard,male,kin,mina,bella,0.4076,-0.13,0.5,0,n,y,,,l,-49,18
maribelo,male,kin,lucy,bella,0.3205,-0.2522,0.5,0,n,y,6.266567837,2.590267165,r,-420,120
zarison,male,kin,zaria,bat4,0.219,-0.2279,0.5,0,n,y,,,l,-70,19
lilyson,male,kin,lily,snow,0.8715,0.0189,0.5,0,n,y,,0,r,499,-199
countess,female,kin,snow,marce,0.3603,0.112,0.5,0,y,y,6.985641818,0,l,33,2
cerce,female,kin,cerceson,sheldon,0.6293,0.1654,0.5,0,y,y,5.706002232,,r,-62,43
lily,female,kin,bella,mina,0.692,-0.2553,0.5,0,n,y,7.303843225,0,l,-46,-52
mya,female,kin,streblick,cerceson,0.4934,-0.4358,0.5,0,y,y,5.992921818,,r,91,34
lucy,female,kin,zaria,marce,0.3014,-0.3536,0.5,0,y,y,6.098448744,0,l,-427,110
vampirella,female,kin,sheldon,cerceson,0.2704,0.3016,0.5,0.02,y,y,0,,r,364,-23
zaria,female,kin,lucy,mina,0.3014,-0.2056,0.5,0,n,y,6.445984335,4.94875989,l,407,-43
helsing,male,kin,lily,zaria,0.4439,0.0751,0.4439,0.0751,n,n,0,0,r,344,-44
veronica,female,kin,sheldon,streblick,0.356,-0.074,0.356,0,n,n,0,0,l,-56,-9
